0.279881467,0.068998574,0.024953862,0.015639363,0.021607595,0.013091143
0.999949097,0.998657592,0.995615244,0.992646413,0.98913573,0.985324249
0.999753515,0.999363587,0.995047652,0.992185259,0.988803939,0.986685491
0.635530828,0.267772007,0.176269992,0.121862404,0.111327521,0.099793484
0.99998658,0.999544814,0.998520224,0.997601076,0.996171599,0.995247895
0.99990164,0.999363587,0.998282994,0.997162782,0.995509983,0.994463152
0.121140187,0.055317129,0.015114391,0.00995184,0.011072998,0.007556488
1,0.998371494,0.99460712,0.990755272,0.986790871,0.981886984
0.999763468,0.999370028,0.995038675,0.992179209,0.988755345,0.986619527
0.669390133,0.220632576,0.137094744,0.081448259,0.090255073,0.069159171
1,0.999455938,0.998259233,0.997262287,0.995515134,0.994145832
0.999896956,0.999370028,0.99829041,0.99717215,0.995519936,0.994452028
